"","rank","name","age","country","source","industry","2022","2021","2020","2019","2018","2017","2016","2015"
"752",728,"David Rubenstein ",72,"United States","private equity","Finance & Investments ","$4 B","$3.7 B","$2.8 B",NA,"$2.8 B","$2.50 B","$2.20 B","$2.90 B"
"753",728,"Howard Schultz ",68,"United States","Starbucks","Food & Beverage ","$4 B","$4.9 B","$3 B",NA,"$2.7 B","$3.00 B","$2.90 B","$2.50 B"
"754",728,"Alex Shevchenko ",42,"Canada","software","Technology ","$4 B",NA,NA,NA,NA,NA,NA,NA
"755",728,"Dan Snyder ",57,"United States","Washington Football Team","Sports ","$4 B","$2.6 B","$2.6 B",NA,"$2.3 B","$2.20 B","$2.10 B","$1.70 B"
"756",728,"Jerzy Starak ",74,"Poland","pharmaceuticals","Healthcare ","$4 B","$3.6 B","$1.9 B",NA,"$1.4 B",NA,NA,NA
"757",728,"Udo & Harald Tschira ",64,"Germany","software","Technology ","$4 B","$4 B","$11.3 B",NA,"$11.7 B","$11.00 B","$9.30 B",NA
"758",728,"Kelcy Warren ",66,"United States","pipelines","Energy ","$4 B","$3.4 B","$2.2 B","$4.72 B","$4.1 B","$4.50 B","$1.70 B","$6.20 B"
"759",728,"Herbert Wertheim ",82,"United States","investments","Finance & Investments ","$4 B","$3.7 B","$2.4 B",NA,NA,NA,NA,NA
"760",728,"Cameron Winklevoss ",40,"United States","cryptocurrency","Finance & Investments ","$4 B","$3 B",NA,NA,NA,NA,NA,NA
"761",728,"Tyler Winklevoss ",40,"United States","cryptocurrency","Finance & Investments ","$4 B","$3 B",NA,NA,NA,NA,NA,NA
"762",728,"Denise York & family ",71,"United States","San Francisco 49ers","Sports ","$4 B","$3.5 B","$3.2 B",NA,NA,NA,NA,NA
"763",728,"Zhao Lixin ",56,"China","electronics","Technology ","$4 B",NA,NA,NA,NA,NA,NA,NA
"764",764,"Hubert Burda ",82,"Germany","publishing","Media & Entertainment ","$3.9 B","$3.5 B",NA,NA,"$3.8 B","$1.60 B","$2.20 B","$2.70 B"
"765",764,"Francesco Gaetano Caltagirone ",79,"Italy","cement, diversified","Construction & Engineering ","$3.9 B","$3.4 B","$1.8 B",NA,"$2.6 B","$1.90 B","$1.60 B","$2.10 B"
"766",764,"Marcos Galperin ",64,"Argentina","e-commerce","Technology ","$3.9 B","$6.1 B","$2 B",NA,"$1.6 B","$1.00 B",NA,NA
"767",764,"Li Xiang ",40,"China","electric vehicles","Automotive ","$3.9 B","$4 B",NA,NA,NA,NA,NA,NA
"768",764,"Stephen Mandel, Jr. ",66,"United States","hedge funds","Finance & Investments ","$3.9 B","$3.9 B","$2.8 B",NA,"$2.6 B","$2.60 B","$2.50 B","$2.30 B"
"769",764,"Gabe Newell ",59,"United States","videogames","Gambling & Casinos ","$3.9 B","$4.1 B","$3.5 B","$4.32 B","$5.5 B","$4.10 B","$2.20 B","$1.30 B"
"770",764,"Maja Oeri ",67,"Switzerland","pharmaceuticals","Healthcare ","$3.9 B","$3.2 B","$2.8 B",NA,"$2.1 B","$2.10 B","$2.10 B","$2.30 B"
"771",764,"Paolo & Gianfelice Mario Rocca ",64,"Italy","pipe manufacturing","Metals & Mining ","$3.9 B","$3.7 B","$3.2 B",NA,"$4.9 B","$4.40 B","$3.40 B","$5.20 B"
"772",764,"Neil Shen ",54,"China","venture capital","Finance & Investments ","$3.9 B","$5.2 B","$1.6 B",NA,"$1.1 B","$1.20 B","$1.00 B","$1.00 B"
"773",764,"Helmut Sohmen ",82,"Austria","shipping","Logistics ","$3.9 B","$2.6 B","$1.9 B",NA,"$1.3 B","$1.80 B","$2.30 B","$2.10 B"
"774",764,"Donald Sterling ",87,"United States","real estate","Real Estate ","$3.9 B","$3.8 B","$3.6 B",NA,"$3.5 B","$3.50 B","$3.10 B","$2.90 B"
"775",764,"Don Vultaggio & family ",70,"United States","beverages","Food & Beverage ","$3.9 B","$3.8 B","$2.7 B",NA,NA,NA,NA,NA
"776",764,"Yiling Wu ",72,"China","pharmaceuticals","Healthcare ","$3.9 B",NA,NA,NA,NA,NA,NA,NA
"777",764,"Gongshan Zhu ",64,"China","solar panel materials","Manufacturing ","$3.9 B",NA,NA,NA,NA,NA,NA,NA
"778",778,"Gayle Benson ",75,"United States","pro sports teams","Sports ","$3.8 B","$3.4 B","$3.2 B",NA,NA,NA,NA,NA
"779",778,"William Conway, Jr. ",72,"United States","private equity","Finance & Investments ","$3.8 B","$3.4 B","$2.7 B",NA,"$2.8 B","$2.50 B","$2.30 B","$2.90 B"
"780",778,"Gurbachan Singh Dhingra ",71,"India","paints","Manufacturing ","$3.8 B",NA,NA,NA,NA,NA,NA,NA
"781",778,"Kuldip Singh Dhingra ",74,"India","paints","Manufacturing ","$3.8 B",NA,NA,NA,NA,NA,NA,NA
"782",778,"Luca Garavoglia ",53,"Italy","spirits","Food & Beverage ","$3.8 B","$4.2 B","$2.5 B",NA,"$2.5 B","$1.50 B",NA,NA
"783",778,"Vinod & Anil Rai Gupta ",64,"India","electrical equipment","Manufacturing ","$3.8 B","$4 B","$2.1 B",NA,"$2.2 B",NA,NA,NA
"784",778,"Jimmy Haslam ",68,"United States","gas stations, retail","Fashion & Retail ","$3.8 B","$3 B","$2.7 B",NA,"$3.4 B","$3.60 B","$2.30 B","$2.80 B"
"785",778,"Susan Carol Holland ",65,"Italy","hearing aids","Manufacturing ","$3.8 B",NA,NA,NA,NA,NA,NA,NA
"786",778,"Timur Kulibaev ",55,"Kazakhstan","banking","Finance & Investments ","$3.8 B","$2.8 B","$2.8 B",NA,"$3.2 B","$2.10 B","$2.00 B","$2.10 B"
"787",778,"Dinara Kulibaeva ",54,"Kazakhstan","banking","Finance & Investments ","$3.8 B","$2.8 B","$2.8 B",NA,"$3.2 B","$2.10 B","$2.00 B","$2.10 B"
"788",778,"Michel Leclercq & family ",82,"France","sporting goods","Fashion & Retail ","$3.8 B","$5.7 B","$2.6 B",NA,NA,NA,NA,NA
"789",778,"Pablo Legorreta ",58,"United States","investments","Finance & Investments ","$3.8 B","$2.9 B",NA,NA,NA,NA,NA,NA
"790",778,"Margarita Louis-Dreyfus & family ",59,"Switzerland","commodities","Food & Beverage ","$3.8 B","$3.4 B","$3.9 B",NA,NA,NA,NA,NA
"791",778,"Michael Milken ",75,"United States","investments","Finance & Investments ","$3.8 B","$3.7 B","$3.7 B",NA,"$3.7 B","$3.60 B","$2.50 B","$2.50 B"
"792",778,"Denis O'Brien ",63,"Ireland","telecom","Telecom ","$3.8 B","$4.6 B","$2.9 B",NA,"$4.6 B","$4.70 B","$5.70 B","$6.80 B"
"793",778,"Katharina Otto-Bernstein ",58,"Germany","real estate","Real Estate ","$3.8 B","$4.1 B","$2 B",NA,"$3.8 B",NA,NA,NA
"794",778,"James Packer ",54,"Australia","casinos","Gambling & Casinos ","$3.8 B","$3.2 B","$2.3 B",NA,"$4.1 B","$3.00 B","$3.50 B","$5.20 B"
"795",778,"Sergio Stevanato & family ",79,"Italy","medical packaging","Healthcare ","$3.8 B",NA,NA,NA,NA,NA,NA,NA
"796",778,"Leena Tewari ",64,"India","pharmaceuticals","Healthcare ","$3.8 B","$3.5 B","$1.8 B",NA,"$2.4 B","$2.00 B","$1.70 B",NA
"797",778,"Yitzhak Tshuva ",73,"Israel","real estate","Real Estate ","$3.8 B","$2.7 B","$3.2 B",NA,"$3.7 B","$3.70 B","$2.70 B","$3.60 B"
"798",778,"Paul-Heinz Wesjohann & family ",78,"Germany","chicken processing","Food & Beverage ","$3.8 B","$4.6 B",NA,NA,NA,NA,NA,NA
"799",778,"Zeng Fangqin ",56,"China","smartphone components","Technology ","$3.8 B","$6.6 B","$5.4 B",NA,"$3.8 B",NA,NA,NA
"800",778,"Zhou Bajin ",86,"China","auto parts","Manufacturing ","$3.8 B","$4.7 B","$2.1 B",NA,"$1.2 B",NA,NA,NA
"801",801,"William Berkley ",75,"United States","insurance","Finance & Investments ","$3.7 B","$2.5 B","$2.6 B",NA,"$1.6 B","$1.60 B","$1.10 B","$1.10 B"
"802",801,"John Catsimatidis ",73,"United States","oil, real estate","Energy ","$3.7 B","$2.8 B","$3.3 B",NA,"$3.1 B","$3.30 B","$3.40 B","$3.10 B"
"803",801,"Che Jianxing ",55,"China","furniture retailing","Fashion & Retail ","$3.7 B","$3.9 B","$4.5 B",NA,"$4 B","$3.40 B","$1.70 B",NA
"804",801,"Gustavo Denegri ",85,"Italy","biotech","Healthcare ","$3.7 B","$5.1 B","$3.1 B",NA,"$2.3 B","$1.60 B","$1.30 B","$1.10 B"
"805",801,"Charles Edelstenne ",84,"France","aviation","Manufacturing ","$3.7 B","$3.3 B","$2.1 B",NA,"$1.9 B","$1.30 B","$1.20 B","$1.00 B"
"806",801,"Reed Hastings ",61,"United States","Netflix","Media & Entertainment ","$3.7 B","$5.1 B","$3.7 B","$4.53 B","$2.7 B","$1.80 B","$1.20 B","$1.00 B"
"807",801,"Amos Hostetter, Jr. ",85,"United States","cable television","Media & Entertainment ","$3.7 B","$3.8 B","$3.5 B",NA,"$3.3 B","$3.20 B","$3.00 B","$3.10 B"
"808",801,"Brad Jacobs ",65,"United States","logistics","Logistics ","$3.7 B",NA,NA,NA,NA,NA,NA,NA
"809",801,"Friedrich Knapp ",70,"Germany","fashion retail","Fashion & Retail ","$3.7 B","$4.5 B","$1.8 B",NA,"$1.9 B","$1.40 B","$1.10 B","$1.90 B"
"810",801,"William Lauder ",61,"United States","Estee Lauder","Fashion & Retail ","$3.7 B","$4.1 B","$2.2 B",NA,"$1.8 B","$1.10 B","$1.20 B",NA
"811",801,"Richard LeFrak & family ",76,"United States","real estate","Real Estate ","$3.7 B","$3.3 B","$2.8 B",NA,NA,NA,NA,NA
"812",801,"Li Guoqiang ",58,"China","auto dealerships","Automotive ","$3.7 B","$3.5 B","$1.9 B",NA,"$1.4 B",NA,NA,NA
"813",801,"Low Tuck Kwong ",73,"Indonesia","coal","Energy ","$3.7 B","$1.1 B","$1.1 B",NA,"$1.5 B",NA,"$1.00 B","$1.00 B"
"814",801,"Akira Mori & family ",85,"Japan","real estate","Real Estate ","$3.7 B","$4 B","$3.4 B",NA,NA,NA,NA,NA
"815",801,"Anthony Pritzker ",61,"United States","hotels, investments","Service ","$3.7 B","$3.6 B","$3.5 B",NA,"$3.5 B","$3.40 B","$3.20 B","$3.40 B"
"816",801,"Ira Rennert ",87,"United States","investments","Finance & Investments ","$3.7 B","$4 B","$3 B","$3.94 B","$3.8 B","$4.10 B","$3.60 B","$6.10 B"
"817",801,"Bernard Saul, II. ",89,"United States","banking, real estate","Finance & Investments ","$3.7 B","$3.3 B","$2.9 B",NA,"$3.5 B","$3.60 B","$2.80 B","$2.60 B"
"818",801,"Shi Yonghong & family ",53,"China","restaurants","Food & Beverage ","$3.7 B","$6.8 B","$3.3 B",NA,NA,NA,NA,NA
"819",801,"Song Chi-hyung ",43,"South Korea","cryptocurrency","Finance & Investments ","$3.7 B",NA,NA,NA,NA,NA,NA,NA
"820",801,"Steven Spielberg ",75,"United States","movies","Media & Entertainment ","$3.7 B","$3.7 B","$3.6 B","$5.95 B","$3.6 B","$3.70 B","$3.50 B","$3.60 B"
"821",801,"Wong Luen Hei ",60,"China","building materials","Manufacturing ","$3.7 B","$4.7 B","$2.9 B",NA,"$1.8 B","$1.90 B","$1.40 B","$1.30 B"
"822",822,"Danielle Bellon & family ",82,"France","food services","Service ","$3.6 B",NA,NA,NA,NA,NA,NA,NA
"823",822,"Byju Raveendran and Divya Gokulnath ",40,"India","education technology","Technology ","$3.6 B","$2.5 B",NA,NA,NA,NA,NA,NA
"824",822,"Cho Tak Wong ",75,"Hong Kong","auto parts","Manufacturing ","$3.6 B","$4.1 B","$2 B",NA,"$2.5 B","$1.80 B","$1.50 B","$1.50 B"
"825",822,"Charles Cohen ",70,"United States","real estate","Real Estate ","$3.6 B","$3.5 B","$3.2 B",NA,"$3.3 B","$2.80 B",NA,NA
"826",822,"Kenneth Dart ",66,"Belize","investments","Finance & Investments ","$3.6 B",NA,NA,"$4.86 B",NA,NA,NA,NA
"827",822,"Martin Ebner ",76,"Switzerland","investments","Finance & Investments ","$3.6 B","$3.1 B","$2.5 B",NA,"$3.2 B","$2.60 B","$1.20 B",NA
"828",822,"David Filo ",55,"United States","Yahoo","Technology ","$3.6 B","$3.5 B","$2.1 B","$4.76 B","$5.3 B","$3.40 B","$2.10 B","$3.40 B"
"829",822,"Miguel Fluxa Rossello ",83,"Spain","hotels","Service ","$3.6 B","$1.6 B","$1.2 B",NA,"$4.4 B","$3.30 B","$2.00 B",NA
"830",822,"John Henry ",72,"United States","sports","Sports ","$3.6 B","$2.8 B","$2.6 B",NA,"$2.5 B","$2.50 B","$2.10 B","$1.60 B"
"831",822,"Hu Kaijun ",60,"China","pharmaceuticals","Healthcare ","$3.6 B","$3.6 B","$1.4 B",NA,"$2 B","$1.50 B","$1.60 B","$1.30 B"
"832",822,"Peter Kellogg ",79,"United States","investments","Finance & Investments ","$3.6 B","$3.6 B","$2.7 B",NA,"$3.6 B","$3.50 B","$2.80 B","$3.30 B"
"833",822,"James Leprino ",84,"United States","cheese","Food & Beverage ","$3.6 B","$3 B","$3.2 B",NA,"$3.1 B","$3.00 B","$2.70 B","$3.00 B"
"834",822,"Iskander Makhmudov ",58,"Russia","mining, metals, machinery","Metals & Mining ","$3.6 B","$9.7 B","$7.2 B","$4.63 B","$7.3 B","$6.50 B","$4.00 B","$3.50 B"
"835",822,"Daniel Mate ",58,"Spain","mining, commodities","Metals & Mining ","$3.6 B","$2.3 B","$1.2 B",NA,"$2.6 B","$2.10 B",NA,"$2.10 B"
"836",822,"Aristotelis Mistakidis ",60,"Greece","mining, commodities","Metals & Mining ","$3.6 B","$2.3 B","$1.1 B",NA,"$2.5 B","$2.10 B",NA,"$2.10 B"
"837",822,"Arturo Moreno ",75,"United States","billboards, Los Angeles Angels","Sports ","$3.6 B","$3.4 B","$3.3 B",NA,"$2.5 B","$2.10 B","$1.80 B","$1.50 B"
"838",822,"Nan Cunhui ",58,"China","power equipment","Manufacturing ","$3.6 B","$2.7 B","$1.6 B",NA,"$1.4 B","$1.00 B","$1.10 B","$1.50 B"
"839",822,"Julio Ponce Lerou ",76,"Chile","fertilizer","Metals & Mining ","$3.6 B","$4.1 B","$1.7 B",NA,"$4.8 B","$3.10 B",NA,NA
"840",822,"J.B. Pritzker ",57,"United States","hotels, investments","Finance & Investments ","$3.6 B","$3.5 B","$3.4 B",NA,NA,NA,NA,NA
"841",822,"Chandru Raheja ",81,"India","real estate","Real Estate ","$3.6 B","$2.9 B","$2.7 B",NA,"$2.8 B","$2.50 B","$2.00 B","$2.20 B"
"842",822,"Rodger Riney & family ",76,"United States","discount brokerage","Finance & Investments ","$3.6 B","$3.6 B","$3.6 B",NA,NA,NA,NA,NA
"843",822,"Shi Yuzhu ",59,"China","online games, investments","Diversified ","$3.6 B","$6.3 B","$1.3 B",NA,"$2.8 B","$3.30 B","$1.50 B","$3.90 B"
"844",822,"Zuowen Song ",75,"China","aluminum, diversified","Diversified ","$3.6 B",NA,NA,NA,NA,NA,NA,NA
"845",822,"Jerry Speyer ",81,"United States","real estate","Real Estate ","$3.6 B","$3.1 B","$4 B",NA,"$3.9 B","$3.70 B","$4.00 B","$4.00 B"
"846",822,"Julia Thiele-Schuerhoff ",50,"Germany","brakes, investments","Manufacturing ","$3.6 B","$3.5 B",NA,NA,NA,NA,NA,NA
"847",822,"Tung Chee Chen ",79,"Hong Kong","shipping","Logistics ","$3.6 B","$3.4 B","$3.2 B",NA,"$2.8 B","$1.90 B","$1.40 B",NA
"848",822,"Roger Wang ",73,"United States","retail","Fashion & Retail ","$3.6 B",NA,"$3.6 B",NA,"$4.3 B","$3.70 B","$3.10 B","$3.20 B"
"849",822,"Wu Shaoxun ",66,"China","wine","Food & Beverage ","$3.6 B","$3.5 B","$2.2 B","$7.69 B","$7 B",NA,NA,NA
"850",822,"Wenzhong Zhang ",60,"China","supermarkets","Fashion & Retail ","$3.6 B",NA,NA,NA,NA,NA,NA,NA
"851",851,"Chen Kaixuan ",63,"China","household chemicals","Manufacturing ","$3.5 B","$2.9 B","$2.1 B",NA,NA,NA,NA,NA
"852",851,"Beatriz Davila de Santo Domingo ",83,"Colombia","beer","Food & Beverage ","$3.5 B","$3.9 B",NA,NA,NA,NA,NA,NA
"853",851,"Antonio Del Valle Ruiz & family ",83,"Mexico","chemicals","Manufacturing ","$3.5 B","$3.1 B","$1.6 B",NA,NA,NA,NA,NA
"854",851,"Carl Douglas ",60,"Sweden","investments","Diversified ","$3.5 B","$3 B","$1.6 B",NA,"$1.5 B","$1.20 B",NA,NA
"855",851,"Eric Douglas ",53,"Sweden","investments","Diversified ","$3.5 B","$3 B","$1.6 B",NA,"$1.5 B","$1.20 B",NA,NA
"856",851,"Jiangtao Du & family ",52,"China","chemicals","Manufacturing ","$3.5 B",NA,NA,NA,NA,NA,NA,NA
"857",851,"Juan Carlos Escotet ",62,"Venezuela","banking","Finance & Investments ","$3.5 B","$3.2 B","$3.4 B",NA,"$4.4 B","$3.70 B","$3.70 B","$3.30 B"
"858",851,"Fiona Geminder ",57,"Australia","manufacturing","Manufacturing ","$3.5 B","$3.4 B","$2 B",NA,"$2.7 B","$2.60 B","$1.90 B","$2.00 B"
"859",851,"Yuhua Gu & family ",72,"China","furniture","Manufacturing ","$3.5 B",NA,NA,NA,NA,NA,NA,NA
"860",851,"James Irsay ",62,"United States","Indianapolis Colts","Sports ","$3.5 B","$3 B","$3 B",NA,"$2.7 B","$2.50 B","$2.30 B","$1.80 B"
"861",851,"Kuok Khoon Hong ",72,"Singapore","palm oil","Manufacturing ","$3.5 B","$3.8 B","$2.1 B",NA,"$2.1 B","$2.40 B","$2.20 B",NA
"862",851,"Aerin Lauder ",51,"United States","cosmetics","Fashion & Retail ","$3.5 B","$3.8 B","$2.1 B",NA,NA,NA,NA,NA
"863",851,"Lee Seo-hyun ",48,"South Korea","Samsung","Diversified ","$3.5 B","$1.7 B","$1.1 B",NA,"$1.9 B","$1.50 B","$1.70 B","$2.10 B"
"864",851,"Li Yongxin & family ",46,"China","education","Service ","$3.5 B","$3.7 B","$2 B",NA,NA,NA,NA,NA
"865",851,"Jeffrey Lurie ",70,"United States","Philadelphia Eagles","Sports ","$3.5 B","$3 B","$2.7 B",NA,"$2 B","$1.80 B","$1.80 B","$1.10 B"
"866",851,"Mary Alice Dorrance Malone ",72,"United States","Campbell Soup","Food & Beverage ","$3.5 B","$3.7 B","$3.8 B",NA,"$3.3 B","$3.90 B","$3.90 B","$3.20 B"
"867",851,"Ronald McAulay ",86,"Hong Kong","energy","Energy ","$3.5 B","$3.2 B","$3.2 B","$7.12 B","$3.2 B","$3.10 B","$2.60 B","$2.70 B"
"868",851,"Apoorva Mehta ",35,"Canada","grocery delivery service","Technology ","$3.5 B","$3.5 B",NA,NA,NA,NA,NA,NA
"869",851,"Arnon Milchan ",77,"Israel","movie making","Media & Entertainment ","$3.5 B","$3.4 B","$3.3 B",NA,"$3.5 B","$5.20 B","$5.00 B","$5.10 B"
"870",851,"Masahiro Noda ",83,"Japan","software","Technology ","$3.5 B","$4 B","$2.9 B",NA,"$1.8 B","$1.10 B","$1.00 B",NA
"871",851,"Maren Otto ",64,"Germany","retail, real estate","Diversified ","$3.5 B","$3.8 B","$1.7 B",NA,"$3.5 B",NA,NA,NA
"872",851,"Renzo Rosso & family ",66,"Italy","fashion","Fashion & Retail ","$3.5 B","$3.3 B","$2.5 B",NA,NA,NA,NA,NA
"873",851,"Lynn Schusterman ",83,"United States","oil & gas, investments","Energy ","$3.5 B","$3.4 B","$3.4 B","$5.35 B","$3.2 B","$3.10 B","$3.40 B","$3.70 B"
"874",851,"Gil Shwed ",53,"Israel","software","Technology ","$3.5 B","$3 B","$2.3 B",NA,"$2.6 B","$2.80 B","$2.20 B","$2.20 B"
"875",851,"Thomas Siebel ",69,"United States","business software","Technology ","$3.5 B","$4.9 B","$3.6 B",NA,"$2.9 B","$2.50 B","$2.20 B","$2.30 B"
"876",851,"Herb Simon ",87,"United States","real estate","Real Estate ","$3.5 B","$3.1 B","$2.5 B",NA,NA,NA,NA,NA
"877",851,"Friede Springer ",79,"Germany","publishing","Media & Entertainment ","$3.5 B","$3 B","$4.5 B",NA,"$5.6 B","$3.90 B","$3.40 B","$4.00 B"
"878",851,"Wang Zhenhua ",60,"China","real estate","Real Estate ","$3.5 B","$7.2 B","$4.5 B",NA,"$3 B","$1.10 B",NA,NA
"879",851,"Hans Peter Wild ",80,"Switzerland","flavorings","Food & Beverage ","$3.5 B","$3.3 B","$2.9 B",NA,"$3.3 B","$2.60 B","$4.70 B","$3.00 B"
"880",851,"William Wrigley, Jr. ",58,"United States","chewing gum","Food & Beverage ","$3.5 B","$3.3 B","$3 B",NA,"$2.8 B","$2.80 B","$2.50 B","$2.60 B"
"881",851,"Xia Zuoquan ",60,"China","automobiles, batteries","Automotive ","$3.5 B","$3 B",NA,NA,"$1.1 B",NA,NA,NA
"882",851,"Xue Hua ",52,"China","agribusiness","Manufacturing ","$3.5 B","$4.2 B","$1.8 B",NA,"$1.2 B",NA,NA,NA
"883",883,"Mohed Altrad ",74,"France","scaffolding, cement mixers","Construction & Engineering ","$3.4 B","$3.4 B","$3.3 B",NA,"$2.7 B","$1.60 B","$1.00 B","$1.00 B"
"884",883,"Sid Bass ",79,"United States","oil, investments","Energy ","$3.4 B","$2.9 B","$1.9 B",NA,"$3.3 B","$2.80 B","$1.80 B","$1.70 B"
"885",883,"Nick Caporella ",86,"United States","beverages","Food & Beverage ","$3.4 B","$4.4 B","$1.9 B",NA,"$3.7 B","$2.30 B",NA,NA
"886",883,"Cheng Yixiao ",38,"China","video streaming app","Media & Entertainment ","$3.4 B","$14.1 B","$2.2 B",NA,NA,NA,NA,NA
"887",883,"Wesley Edens ",60,"United States","investments","Finance & Investments ","$3.4 B","$1.2 B","$1 B",NA,NA,NA,NA,NA
"888",883,"Behdad Eghbali ",45,"United States","private equity","Finance & Investments ","$3.4 B","$3 B","$2 B",NA,NA,NA,NA,NA
"889",883,"Archie Aldis Emmerson & family ",92,"United States","timberland, lumber mills","Manufacturing ","$3.4 B","$3.2 B","$2.5 B",NA,NA,NA,NA,NA
"890",883,"Jose E. Feliciano ",48,"United States","private equity","Finance & Investments ","$3.4 B","$3 B",NA,NA,NA,NA,NA,NA
"891",883,"Fu Liquan & family ",54,"China","surveillance equipment","Technology ","$3.4 B","$4.2 B",NA,NA,NA,NA,NA,NA
"892",883,"David Gottesman ",95,"United States","investments","Finance & Investments ","$3.4 B","$2.8 B","$2 B",NA,"$2.3 B","$1.80 B","$1.50 B","$1.80 B"
"893",883,"Laurence Graff & family ",83,"United Kingdom","diamond jewelry","Fashion & Retail ","$3.4 B","$4.1 B","$5.3 B",NA,NA,NA,NA,NA
"894",883,"Jeff T. Green ",45,"United States","digital advertising","Media & Entertainment ","$3.4 B",NA,NA,NA,NA,NA,NA,NA
"895",883,"Jim Kavanaugh ",59,"United States","IT provider","Technology ","$3.4 B","$2.3 B","$2.2 B",NA,NA,NA,NA,NA
"896",883,"Steven Klinsky ",65,"United States","investments","Finance & Investments ","$3.4 B","$3.4 B","$2.9 B",NA,NA,NA,NA,NA
"897",883,"John Middleton ",67,"United States","tobacco","Food & Beverage ","$3.4 B","$3.4 B","$3.3 B",NA,"$3 B","$2.80 B","$2.70 B",NA
"898",883,"Jerry Ng ",56,"Indonesia","banking","Finance & Investments ","$3.4 B","$2.5 B",NA,NA,NA,NA,NA,NA
"899",883,"Tengyun Nie & family ",46,"China","logistics","Service ","$3.4 B",NA,NA,NA,NA,NA,NA,NA
"900",883,"Nandan Nilekani ",66,"India","software services","Technology ","$3.4 B","$2.5 B","$1.4 B",NA,"$1.9 B","$1.60 B","$1.60 B","$1.80 B"
"901",883,"Bob Parsons ",71,"United States","web hosting","Technology ","$3.4 B","$2.2 B","$2.7 B",NA,"$2.7 B","$2.50 B","$2.00 B","$1.80 B"
"902",883,"Prasert Prasarttong-Osoth ",89,"Thailand","hospitals","Healthcare ","$3.4 B","$3.1 B","$2.4 B",NA,"$3 B","$2.80 B","$2.80 B","$2.80 B"
"903",883,"Qiu Guanghe & family ",70,"China","fashion retail","Fashion & Retail ","$3.4 B","$4 B","$2.8 B",NA,NA,NA,NA,NA
"904",883,"Richard Sands ",71,"United States","liquor","Food & Beverage ","$3.4 B","$2.1 B","$2.3 B",NA,"$3.1 B",NA,NA,NA
"905",883,"Robert Sands ",63,"United States","liquor","Food & Beverage ","$3.4 B","$2.1 B","$1.8 B",NA,"$3 B",NA,NA,NA
"906",883,"T. Denny Sanford ",86,"United States","banking, credit cards","Finance & Investments ","$3.4 B","$2.8 B","$2 B",NA,"$2.2 B","$1.80 B","$1.40 B",NA
"907",883,"Naguib Sawiris ",67,"Egypt","telecom","Telecom ","$3.4 B","$3.2 B","$3 B","$4.95 B","$4 B","$3.90 B","$3.00 B","$3.10 B"
"908",883,"Pavel Tykac ",57,"Czechia","coal mines","Metals & Mining ","$3.4 B","$1.7 B","$1.4 B",NA,"$1.3 B","$1.30 B","$1.20 B","$1.10 B"
"909",883,"Todd Wanek ",58,"United States","furniture","Manufacturing ","$3.4 B","$3.7 B","$1.1 B",NA,NA,NA,NA,NA
"910",883,"Meg Whitman ",65,"United States","eBay","Technology ","$3.4 B","$5.8 B","$3.3 B",NA,"$3.2 B","$2.30 B","$1.90 B","$2.00 B"
"911",883,"Michael Xie ",53,"United States","cybersecurity","Technology ","$3.4 B","$2.1 B",NA,NA,NA,NA,NA,NA
"912",883,"Chenghai Ye & family ",78,"Hong Kong","pharmaceuticals","Healthcare ","$3.4 B",NA,NA,NA,NA,NA,NA,NA
"913",913,"An Kang ",73,"China","pharmaceuticals","Healthcare ","$3.3 B","$5.4 B","$3.9 B",NA,"$1.8 B","$1.80 B","$1.30 B","$1.20 B"
"914",913,"John Arnold ",48,"United States","hedge funds","Finance & Investments ","$3.3 B","$3.3 B","$3.3 B",NA,"$3.3 B","$3.00 B","$2.50 B","$2.60 B"
"915",913,"Arun Bharat Ram ",81,"India","chemicals","Manufacturing ","$3.3 B","$1.8 B",NA,NA,NA,NA,NA,NA
"916",913,"Tomasz Biernacki ",49,"Poland","supermarkets","Fashion & Retail ","$3.3 B","$3.2 B","$1.8 B",NA,"$1.2 B",NA,NA,NA
"917",913,"Travis Boersma ",51,"United States","coffee","Food & Beverage ","$3.3 B",NA,NA,NA,NA,NA,NA,NA
"918",913,"Chan Tan Ching-fen ",64,"Hong Kong","real estate","Real Estate ","$3.3 B","$8.8 B","$1.5 B",NA,"$2.2 B","$2.30 B","$1.40 B",NA
"919",913,"Dongsheng Chen ",64,"China","insurance","Finance & Investments ","$3.3 B",NA,NA,NA,NA,NA,NA,NA
